name, year, points,sprint, longjump,javelin
Thiam,year2016,6810,25.1,6.58,53.13
Ennis-Hill,year2016,6775,23.49,6.34,46.06
Theisen-Eaton,year2016,6653,24.18,6.48,47.36
Ikauniece-Admidina,year2016,6617,23.76,6.12,55.93
Schafer,year2016,6540,23.99,6.2,47.99
Johnson-Thompson,year2016,6523,23.26,6.51,36.36
Rodriguez,year2016,6481,24.26,6.25,48.89
Zsivoczky-Farkas,year2016,6442,25.38,6.31,48.07
Oeser,year2016,6401,24.99,6.19,47.22
Vetter,year2016,6394,23.93,6.1,48.42
Nana Djimou Ida,year2016,6383,25.07,6.43,48.76
Nwaba,year2016,6309,24.77,5.81,46.85
Broersen,year2016,6300,24.94,6.15,50.8
Rath,year2016,6270,24.48,6.55,39.39
Aguilar,year2016,6263,24.12,6.23,46.9
Krizsan,year2016,6257,25.24,6.08,49.78
Williams,year2016,6221,24.09,6.31,40.93
Miller-Koch,year2016,6213,24.97,6.16,40.25
Visser,year2016,6190,24.34,6.35,42.48
Jones,year2016,6173,24.35,6.3,42
Dadic,year2016,6155,24.6,6.05,46.08
Klucinova,year2016,6077,25.37,6.08,46.73
Chefer,year2016,6024,24.11,6.1,45.05
Joyner-Kersee,year1988,7291,22.56,7.27,45.66
John,year1988,6897,23.65,6.71,42.56
Behmer,year1988,6858,23.1,6.68,44.54
Shubenkova,year1988,6540,23.93,6.32,47.46
Sablovskaite,year1988,6456,23.92,6.25,42.78
Schulz,year1988,6456,24.65,6.33,42.82
Flemming,year1988,6351,23.59,6.37,40.28
Greiner,year1988,6297,24.48,6.47,38
Lajbnerova,year1988,6252,24.86,6.11,43.3
Buraga,year1988,6232,23.59,6.28,39.06
Wijnsma,year1988,6205,25.03,6.34,37.86
Dimitrova,year1988,6171,23.49,6.19,37.62
Schneider,year1988,6157,24.87,6.05,47.5
Braun,year1988,6109,24.78,6.12,44.58
Ruotsalainen,year1988,6101,24.61,6.08,45.44
Yuping,year1988,6087,25,6.4,38.6
