species,bill_depth,body_mass,sex
Adelie,18.7,3750,MALE
Adelie,17.4,3800,FEMALE
Adelie,18,3250,FEMALE
Adelie,19.3,3450,FEMALE
Adelie,20.6,3650,MALE
Adelie,17.8,3625,FEMALE
Adelie,19.6,4675,MALE
Adelie,17.6,3200,FEMALE
Adelie,21.2,3800,MALE
Adelie,21.1,4400,MALE
Adelie,17.8,3700,FEMALE
Adelie,19,3450,FEMALE
Adelie,20.7,4500,MALE
Adelie,18.4,3325,FEMALE
Adelie,21.5,4200,MALE
Adelie,18.3,3400,FEMALE
Adelie,18.7,3600,MALE
Adelie,19.2,3800,FEMALE
Adelie,18.1,3950,MALE
Adelie,17.2,3800,MALE
Adelie,18.9,3800,FEMALE
Adelie,18.6,3550,MALE
Adelie,17.9,3200,FEMALE
Adelie,18.6,3150,FEMALE
Adelie,18.9,3950,MALE
Adelie,16.7,3250,FEMALE
Adelie,18.1,3900,MALE
Adelie,17.8,3300,FEMALE
Adelie,18.9,3900,MALE
Adelie,17,3325,FEMALE
Adelie,21.1,4150,MALE
Adelie,20,3950,MALE
Adelie,18.5,3550,FEMALE
Adelie,19.3,3300,FEMALE
Adelie,19.1,4650,MALE
Adelie,18,3150,FEMALE
Adelie,18.4,3900,MALE
Adelie,18.5,3100,FEMALE
Adelie,19.7,4400,MALE
Adelie,16.9,3000,FEMALE
Adelie,18.8,4600,MALE
Adelie,19,3425,MALE
Adelie,17.9,3450,FEMALE
Adelie,21.2,4150,MALE
Adelie,17.7,3500,FEMALE
Adelie,18.9,4300,MALE
Adelie,17.9,3450,FEMALE
Adelie,19.5,4050,MALE
Adelie,18.1,2900,FEMALE
Adelie,18.6,3700,MALE
Adelie,17.5,3550,FEMALE
Adelie,18.8,3800,MALE
Adelie,16.6,2850,FEMALE
Adelie,19.1,3750,MALE
Adelie,16.9,3150,FEMALE
Adelie,21.1,4400,MALE
Adelie,17,3600,FEMALE
Adelie,18.2,4050,MALE
Adelie,17.1,2850,FEMALE
Adelie,18,3950,MALE
Adelie,16.2,3350,FEMALE
Adelie,19.1,4100,MALE
Adelie,16.6,3050,FEMALE
Adelie,19.4,4450,MALE
Adelie,19,3600,FEMALE
Adelie,18.4,3900,MALE
Adelie,17.2,3550,FEMALE
Adelie,18.9,4150,MALE
Adelie,17.5,3700,FEMALE
Adelie,18.5,4250,MALE
Adelie,16.8,3700,FEMALE
Adelie,19.4,3900,MALE
Adelie,16.1,3550,FEMALE
Adelie,19.1,4000,MALE
Adelie,17.2,3200,FEMALE
Adelie,17.6,4700,MALE
Adelie,18.8,3800,FEMALE
Adelie,19.4,4200,MALE
Adelie,17.8,3350,FEMALE
Adelie,20.3,3550,MALE
Adelie,19.5,3800,MALE
Adelie,18.6,3500,FEMALE
Adelie,19.2,3950,MALE
Adelie,18.8,3600,FEMALE
Adelie,18,3550,FEMALE
Adelie,18.1,4300,MALE
Adelie,17.1,3400,FEMALE
Adelie,18.1,4450,MALE
Adelie,17.3,3300,FEMALE
Adelie,18.9,4300,MALE
Adelie,18.6,3700,FEMALE
Adelie,18.5,4350,MALE
Adelie,16.1,2900,FEMALE
Adelie,18.5,4100,MALE
Adelie,17.9,3725,FEMALE
Adelie,20,4725,MALE
Adelie,16,3075,FEMALE
Adelie,20,4250,MALE
Adelie,18.6,2925,FEMALE
Adelie,18.9,3550,MALE
Adelie,17.2,3750,FEMALE
Adelie,20,3900,MALE
Adelie,17,3175,FEMALE
Adelie,19,4775,MALE
Adelie,16.5,3825,FEMALE
Adelie,20.3,4600,MALE
Adelie,17.7,3200,FEMALE
Adelie,19.5,4275,MALE
Adelie,20.7,3900,FEMALE
Adelie,18.3,4075,MALE
Adelie,17,2900,FEMALE
Adelie,20.5,3775,MALE
Adelie,17,3350,FEMALE
Adelie,18.6,3325,MALE
Adelie,17.2,3150,FEMALE
Adelie,19.8,3500,MALE
Adelie,17,3450,FEMALE
Adelie,18.5,3875,MALE
Adelie,15.9,3050,FEMALE
Adelie,19,4000,MALE
Adelie,17.6,3275,FEMALE
Adelie,18.3,4300,MALE
Adelie,17.1,3050,FEMALE
Adelie,18,4000,MALE
Adelie,17.9,3325,FEMALE
Adelie,19.2,3500,MALE
Adelie,18.5,3500,FEMALE
Adelie,18.5,4475,MALE
Adelie,17.6,3425,FEMALE
Adelie,17.5,3900,MALE
Adelie,17.5,3175,FEMALE
Adelie,20.1,3975,MALE
